road_name,neighborhood,diagnosis_date,latitude,longitude,administrative_area_code,year,cases
中華路,安康里,2015/08/01,23.005,120.235,67000310,104,8
,南洲里,2015/08/01,23.096,120.348,67000220,104,1
文成二路,成德里,2015/08/01,23.015,120.204,67000340,104,4
惠安街,溪頂里,2015/08/01,23.026,120.207,67000350,104,3
西門路,正覺里,2015/08/01,23.005,120.205,67000340,104,5
古堡街,西門里,2015/08/01,23.001,120.155,67000360,104,1
北安路,正覺里,2015/08/01,23.019,120.208,67000340,104,15
文成一路,成德里,2015/08/01,23.014,120.201,67000340,104,1
本原街,淵東里,2015/08/02,23.052,120.174,67000350,104,1
西門路,正覺里,2015/08/02,23.004,120.205,67000340,104,7
和緯路,六甲里,2015/08/02,23.012,120.204,67000340,104,2
北安路,正覺里,2015/08/02,23.019,120.207,67000340,104,7
中正南路,六甲里,2015/08/02,22.963,120.292,67000280,104,2
開元路,中樓里,2015/08/02,23.007,120.22,67000340,104,30
北華路,三德里,2015/08/02,23.065,120.295,67000340,104,2
長溪路,安慶里,2015/08/02,23.065,120.198,67000350,104,4
開元路,中樓里,2015/08/02,23.008,120.22,67000340,104,8
公園路,正風里,2015/08/02,23.0,120.208,67000340,104,11
富強路,西勢里,2015/08/03,23.019,120.275,67000310,104,1
公園路,六甲里,2015/08/04,23.011,120.211,67000340,104,16
北華街,五福里,2015/08/04,23.002,120.203,67000340,104,8
公園路,六甲里,2015/08/04,23.002,120.209,67000340,104,1
臨安路,協和里,2015/08/04,23.002,120.194,67000370,104,15
和緯路,六甲里,2015/08/04,23.012,120.206,67000340,104,9
永福路,天后里,2015/08/04,22.988,120.2,67000370,104,3
安平路,平安里,2015/08/04,22.999,120.155,67000360,104,1
大武街,小康里,2015/08/04,23.015,120.216,67000340,104,22
文成路,三德里,2015/08/04,23.013,120.202,67000340,104,3
公園路,正風里,2015/08/04,23.003,120.21,67000340,104,5
和緯路,六甲里,2015/08/04,23.01,120.196,67000340,104,2
正覺街,正覺里,2015/08/04,23.018,120.213,67000340,104,22
福吉四街,廣州里,2015/08/04,22.983,120.193,67000330,104,10
義安街,大安里,2015/08/04,23.034,120.195,67000350,104,6
西賢街,西賢里,2015/08/04,23.005,120.179,67000370,104,2
正覺街,正覺里,2015/08/04,23.016,120.213,67000340,104,8
中山路,北關里,2015/08/04,23.132,120.296,67000190,104,1
大興街,大港里,2015/08/04,23.011,120.188,67000340,104,6
北忠街,公園里,2015/08/05,23.0,120.206,67000340,104,20
中華南路,南華里,2015/08/05,22.962,120.186,67000330,104,13
臨安路,和順里,2015/08/05,23.005,120.202,67000340,104,15
大勇路,西灣里,2015/08/05,23.012,120.262,67000310,104,1
育德一街,成德里,2015/08/05,23.018,120.205,67000340,104,2
長榮路,正風里,2015/08/05,23.013,120.216,67000340,104,12
西門路,正覺里,2015/08/05,23.005,120.206,67000340,104,13
新孝路,金華里,2015/08/05,22.978,120.178,67000330,104,2
三村一街,鹽行里,2015/08/05,23.044,120.237,67000310,104,1
正德街,中正里,2015/08/05,22.994,120.195,67000370,104,30
精忠街,大山里,2015/08/05,23.009,120.214,67000340,104,11
北成路,成功里,2015/08/05,23.02,120.205,67000340,104,8
文和街,文賢里,2015/08/05,23.0,120.188,67000370,104,1
育德二街,成德里,2015/08/05,23.015,120.203,67000340,104,8
府安路,安和里,2015/08/05,23.026,120.216,67000350,104,11
北安路,正覺里,2015/08/06,23.02,120.206,67000340,104,18
成功二街,成功里,2015/08/06,22.956,120.229,67000270,104,3
賢安街,溪頂里,2015/08/06,23.026,120.206,67000350,104,14
海寮,海寮里,2015/08/06,23.092,120.202,67000210,104,1
中華一路,勝利里,2015/08/06,22.999,120.234,67000310,104,8
公園路,六甲里,2015/08/06,23.005,120.21,67000340,104,11
中華二路,中興里,2015/08/06,23.005,120.236,67000310,104,9
忠義路,三民里,2015/08/06,22.998,120.205,67000370,104,5
鯤鯓路,鯤鯓里,2015/08/06,22.963,120.169,67000330,104,1
安中路,鳳凰里,2015/08/06,23.049,120.175,67000350,104,1
和緯路,六甲里,2015/08/06,23.01,120.195,67000340,104,4
慶平路,怡平里,2015/08/06,22.997,120.177,67000360,104,3
裕農路,裕農里,2015/08/06,22.988,120.23,67000320,104,3
新孝路,金華里,2015/08/06,22.978,120.187,67000330,104,5
文成路,成德里,2015/08/07,23.013,120.201,67000340,104,2
明興路,同安里,2015/08/07,22.941,120.188,67000330,104,2
海安路,和順里,2015/08/07,23.009,120.2,67000340,104,2
西門路,六甲里,2015/08/07,23.017,120.211,67000340,104,25
安和路,安西里,2015/08/07,23.059,120.219,67000350,104,5
文成三路,成德里,2015/08/07,23.016,120.199,67000340,104,1
民權路,水仙里,2015/08/07,22.999,120.188,67000370,104,3
五福街,五王里,2015/08/07,23.013,120.234,67000310,104,7
慶東街,東門里,2015/08/07,22.992,120.217,67000320,104,5
民權路,三民里,2015/08/07,22.999,120.175,67000370,104,4
西門路,六甲里,2015/08/07,23.015,120.21,67000340,104,12
龍橋街,烏竹里,2015/08/07,23.042,120.263,67000310,104,1
公園路,六甲里,2015/08/07,23.005,120.211,67000340,104,7
喜樹路,喜北里,2015/08/07,22.946,120.18,67000330,104,12
忠孝路,二王里,2015/08/07,23.018,120.244,67000310,104,2
衛民街,公正里,2015/08/07,22.993,120.209,67000370,104,9
開元路,中樓里,2015/08/07,23.011,120.226,67000340,104,3
裕農路,裕農里,2015/08/07,22.988,120.231,67000320,104,5
長北街,三德里,2015/08/07,23.002,120.204,67000340,104,14
公學路,學東里,2015/08/07,23.072,120.164,67000350,104,1
安中路,安慶里,2015/08/07,23.05,120.174,67000350,104,3
中華南路,大忠里,2015/08/07,22.968,120.208,67000330,104,1
中正北路,鹽行里,2015/08/07,23.042,120.254,67000310,104,1
建平五街,建平里,2015/08/07,22.989,120.176,67000360,104,2
公園北路,興南里,2015/08/09,23.005,120.208,67000340,104,12
大埔街,郡王里,2015/08/09,22.987,120.208,67000370,104,3
中正南路,甲頂里,2015/08/09,23.032,120.227,67000310,104,1
同平路,金城里,2015/08/09,22.994,120.152,67000360,104,1
賢北街,賢北里,2015/08/09,23.009,120.181,67000340,104,1
育德二路,成德里,2015/08/09,23.018,120.202,67000340,104,2
永華路,文華里,2015/08/09,22.989,120.19,67000330,104,5
北忠街,玉皇里,2015/08/09,23.0,120.207,67000340,104,19
南工街,三合里,2015/08/09,23.014,120.236,67000310,104,5
金華路,三合里,2015/08/09,22.996,120.194,67000370,104,15
公園南路,和順里,2015/08/09,23.003,120.201,67000340,104,3
海東二街,海東里,2015/08/09,23.045,120.218,67000350,104,2
勝利路,中樓里,2015/08/09,23.003,120.219,67000340,104,1
長榮路,正風里,2015/08/09,23.013,120.213,67000340,104,36
自強街,五福里,2015/08/09,23.001,120.203,67000340,104,23
,埤頭里,2015/08/10,23.191,120.228,67000070,104,1
中正南路,甲頂里,2015/08/10,23.033,120.228,67000310,104,1
正強街,正強里,2015/08/10,23.032,120.251,67000310,104,1
文賢路,文元里,2015/08/10,23.007,120.194,67000340,104,8
,中洲里,2015/08/10,22.906,120.26,67000270,104,3
鹽埕路,光明里,2015/08/10,22.972,120.19,67000330,104,1
中華西路,文南里,2015/08/10,22.985,120.187,67000330,104,10
文成三路,文元里,2015/08/10,23.016,120.2,67000340,104,1
武英街,民生里,2015/08/10,22.989,120.192,67000370,104,27
安中路,淵西里,2015/08/10,23.04,120.202,67000350,104,2
河中街,安海里,2015/08/10,22.995,120.193,67000370,104,20
育德二路,成德里,2015/08/10,23.006,120.203,67000340,104,10
中正南路,甲頂里,2015/08/10,23.022,120.216,67000310,104,9
建平六街,文平里,2015/08/10,22.987,120.184,67000360,104,11
安中路,安慶里,2015/08/10,23.051,120.174,67000350,104,4
崇善東路,崇善里,2015/08/10,22.969,120.233,67000320,104,2
大興街,大港里,2015/08/10,23.008,120.181,67000340,104,4
洲尾街,鹽洲里,2015/08/10,23.042,120.23,67000310,104,4
大橋一街,大橋里,2015/08/10,23.02,120.232,67000310,104,12
康樂街,安海里,2015/08/10,22.995,120.194,67000370,104,31
,義合里,2015/08/10,23.104,120.139,67000150,104,1
金華路,文南里,2015/08/10,22.974,120.191,67000330,104,7
文賢路,文元里,2015/08/10,23.006,120.194,67000340,104,7
,中民里,2015/08/10,23.149,120.231,67000070,104,1
中華北路,大港里,2015/08/10,23.022,120.209,67000340,104,4
國勝路,西門里,2015/08/10,23.002,120.16,67000360,104,3
武聖路,大豐里,2015/08/10,23.008,120.188,67000340,104,1
健康二街,華平里,2015/08/10,22.995,120.174,67000360,104,3
國聖街,鹽洲里,2015/08/10,23.039,120.232,67000310,104,1
龍潭街,龍潭里,2015/08/10,23.036,120.266,67000310,104,1
大武街,小康里,2015/08/10,23.018,120.219,67000340,104,8
文賢街,文昌里,2015/08/10,23.131,120.294,67000190,104,2
安中路,安慶里,2015/08/10,23.039,120.202,67000350,104,2
安和路,安順里,2015/08/10,23.062,120.219,67000350,104,1
西門路,六甲里,2015/08/10,23.018,120.212,67000340,104,15
府安路,安富里,2015/08/10,23.021,120.193,67000350,104,10
大同路,大恩里,2015/08/11,22.97,120.215,67000330,104,2
北安路,公園里,2015/08/11,23.022,120.206,67000340,104,9
永福路,文昌里,2015/08/11,23.14,120.309,67000190,104,1
新樓街,東門里,2015/08/11,22.99,120.215,67000320,104,11
中山南路,二王里,2015/08/11,23.021,120.246,67000310,104,8
復華一街,復國里,2015/08/11,23.005,120.244,67000310,104,2
長和一街,州南里,2015/08/11,23.063,120.218,67000350,104,1
北安路,溪東里,2015/08/11,23.051,120.213,67000350,104,1
中正南路,甲頂里,2015/08/11,23.036,120.231,67000310,104,1
永仁街,明興里,2015/08/11,22.966,120.191,67000330,104,7
仁和路,和平里,2015/08/11,22.977,120.23,67000320,104,13
中興路,東關里,2015/08/11,23.132,120.292,67000190,104,5
中山南路,二王里,2015/08/11,23.025,120.254,67000310,104,3
北園街,開元里,2015/08/11,23.011,120.222,67000340,104,14
公園路,六甲里,2015/08/11,23.007,120.21,67000340,104,10
復華十街,復華里,2015/08/11,23.016,120.244,67000310,104,5
公園路,小康里,2015/08/11,23.014,120.212,67000340,104,14
信義街,三合里,2015/08/11,23.0,120.196,67000370,104,20
慶東街,東門里,2015/08/11,22.989,120.216,67000320,104,3
安中路,安慶里,2015/08/11,23.041,120.2,67000350,104,3
安豐四街,安順里,2015/08/12,23.047,120.212,67000350,104,1
實踐街,小康里,2015/08/12,23.015,120.217,67000340,104,18
振興路,五王里,2015/08/12,23.012,120.234,67000310,104,3
中興街,海頭里,2015/08/12,23.002,120.163,67000360,104,11
光華街,泉南里,2015/08/12,22.987,120.216,67000320,104,8
民權路,民權里,2015/08/12,23.002,120.167,67000370,104,1
公園路,六甲里,2015/08/12,23.016,120.214,67000340,104,21
北園街,元寶里,2015/08/12,23.009,120.223,67000340,104,9
永華一街,大涼里,2015/08/12,22.987,120.198,67000370,104,7
中華南路,南華里,2015/08/12,22.968,120.207,67000330,104,2
中山南路,東橋里,2015/08/12,23.016,120.235,67000310,104,3
文成里,文成里,2015/08/12,23.012,120.197,67000340,104,1
海佃路,佃西里,2015/08/12,23.045,120.185,67000350,104,1
中山南路,二王里,2015/08/12,23.02,120.243,67000310,104,3
公園路,六甲里,2015/08/12,23.008,120.21,67000340,104,26
國安街,海佃里,2015/08/13,23.023,120.192,67000350,104,3
勝利路,大學里,2015/08/13,22.996,120.218,67000320,104,7
育德路,成德里,2015/08/13,23.017,120.207,67000340,104,3
永康街,永康里,2015/08/13,23.023,120.262,67000310,104,1
永二街,二王里,2015/08/13,23.019,120.248,67000310,104,4
建平十二街,怡平里,2015/08/13,22.996,120.178,67000360,104,5
公園南路,三德里,2015/08/13,23.002,120.206,67000340,104,13
新生路,東寧里,2015/08/13,23.159,120.172,67000120,104,2
中正南路,甲頂里,2015/08/13,23.039,120.234,67000310,104,1
健康路,新興里,2015/08/13,22.983,120.183,67000330,104,2
中正南路,甲頂里,2015/08/13,23.039,120.235,67000310,104,3
成功路,公園里,2015/08/13,23.003,120.195,67000340,104,9
民權路,民權里,2015/08/13,23.001,120.17,67000370,104,1
中山路,北關里,2015/08/13,23.133,120.287,67000190,104,3
濟生路,明宜里,2015/08/13,23.233,120.178,67000130,104,1
文賢路,大豐里,2015/08/13,23.011,120.194,67000340,104,3
北華街,三德里,2015/08/13,23.001,120.206,67000340,104,14
小東路,小東里,2015/08/13,22.999,120.231,67000320,104,3
東豐路,仁愛里,2015/08/13,23.004,120.221,67000340,104,11
開安一街,新順里,2015/08/14,23.046,120.225,67000350,104,1
西門路,六甲里,2015/08/14,23.019,120.213,67000340,104,31
公園路,六甲里,2015/08/14,23.018,120.215,67000340,104,11
府前二街,大涼里,2015/08/14,22.994,120.187,67000370,104,5
建平7街,國平里,2015/08/14,22.99,120.167,67000360,104,1
富強路,西勢里,2015/08/14,23.017,120.274,67000310,104,2
北保一街,新田里,2015/08/14,22.955,120.251,67000270,104,1
西賢一街,西賢里,2015/08/14,23.004,120.179,67000370,104,3
南樂街,文華里,2015/08/14,22.986,120.187,67000330,104,8
福吉一街,廣州里,2015/08/14,22.984,120.194,67000330,104,16
公園北路,興北里,2015/08/14,23.004,120.212,67000340,104,8
開元路,中樓里,2015/08/14,23.006,120.217,67000340,104,30
本原街,原佃里,2015/08/14,23.054,120.195,67000350,104,2
公園路,小康里,2015/08/14,23.019,120.216,67000340,104,36
中正路,永福里,2015/08/14,22.992,120.202,67000370,104,10
公學路,佃東里,2015/08/14,23.075,120.16,67000350,104,1
西賢六街,西賢里,2015/08/14,23.002,120.171,67000370,104,3
忠孝街,三合里,2015/08/14,23.0,120.197,67000370,104,23
大安街,大安里,2015/08/14,23.041,120.19,67000350,104,2
大武街,小康里,2015/08/14,23.017,120.223,67000340,104,20
公園路,小康里,2015/08/14,23.009,120.211,67000340,104,5
中山路,北關里,2015/08/14,23.133,120.286,67000190,104,2
建平五街,文平里,2015/08/14,22.988,120.18,67000360,104,4
府安路,溪北里,2015/08/14,23.025,120.213,67000350,104,3
南工街,二王里,2015/08/14,23.014,120.238,67000310,104,5
和緯路,大山里,2015/08/14,23.007,120.187,67000340,104,9
古堡街,海頭里,2015/08/14,23.003,120.161,67000360,104,2
開元路,中樓里,2015/08/15,23.01,120.225,67000340,104,12
永福路,永福里,2015/08/15,22.993,120.201,67000370,104,5
鎮安五街,長安里,2015/08/15,23.066,120.2,67000350,104,1
勝利路,中西里,2015/08/15,23.007,120.218,67000320,104,39
和緯路,大山里,2015/08/15,23.012,120.201,67000340,104,5
鹽埕路,白雪里,2015/08/15,22.969,120.188,67000330,104,6
信義路,光文里,2015/08/15,23.132,120.299,67000190,104,1
金華路,日新里,2015/08/15,22.975,120.191,67000330,104,24
公園路,正風里,2015/08/15,23.013,120.212,67000340,104,37
公園南路,和順里,2015/08/15,23.003,120.202,67000340,104,20
東昇一街,東昇里,2015/08/15,23.28,120.32,67000040,104,1
,什乃里,2015/08/15,23.145,120.278,67000190,104,1
中華路,安康里,2015/08/15,23.022,120.221,67000310,104,7
文成三路,文元里,2015/08/15,23.016,120.197,67000340,104,2
建業路,南紙里,2015/08/15,23.299,120.297,67000010,104,1
四維街,埔園里,2015/08/15,23.034,120.252,67000310,104,2
大同路,仁愛里,2015/08/15,22.956,120.218,67000270,104,1
育德二路,成德里,2015/08/15,23.021,120.201,67000340,104,2
公園路,六甲里,2015/08/15,23.014,120.213,67000340,104,11
大同路,大恩里,2015/08/15,22.966,120.213,67000330,104,10
關帝廟,南勢里,2015/08/15,23.186,120.262,67000070,104,1
尊南街,金華里,2015/08/16,22.979,120.189,67000330,104,19
旭日街,大山里,2015/08/16,23.01,120.214,67000340,104,12
臨安路,和順里,2015/08/16,23.004,120.202,67000340,104,9
西和路,文賢里,2015/08/16,23.004,120.192,67000370,104,12
光賢街,光賢里,2015/08/16,23.004,120.188,67000370,104,2
五妃街,廣州里,2015/08/16,22.983,120.195,67000330,104,5
臨安路,和順里,2015/08/16,23.004,120.201,67000340,104,9
西華里,西華里,2015/08/16,23.198,120.155,67000160,104,1
公園路,小康里,2015/08/16,23.015,120.213,67000340,104,35
中華北路,賢北里,2015/08/16,23.017,120.19,67000340,104,1
忠義路,進學里,2015/08/16,22.988,120.201,67000370,104,1
中山南路,二王里,2015/08/16,23.022,120.249,67000310,104,3
建東街,後甲里,2015/08/16,22.993,120.235,67000320,104,1
中華南路,南都里,2015/08/16,22.968,120.206,67000330,104,4
建東街,後甲里,2015/08/16,22.992,120.237,67000320,104,1
鹽埕路,白雪里,2015/08/16,22.967,120.188,67000330,104,36
中正南路,甲頂里,2015/08/16,23.041,120.237,67000310,104,6
民權路,民權里,2015/08/16,23.002,120.166,67000370,104,8
公學路,佃東里,2015/08/16,23.075,120.159,67000350,104,2
忠明街,民權里,2015/08/17,22.998,120.193,67000370,104,7
長德街,長德里,2015/08/17,23.003,120.206,67000340,104,9
安中路,梅花里,2015/08/17,23.043,120.201,67000350,104,1
開南街,重興里,2015/08/17,23.005,120.227,67000340,104,15
慶東街,圍下里,2015/08/17,22.991,120.216,67000320,104,2
自強路,正強里,2015/08/17,23.036,120.263,67000310,104,1
林森路,重興里,2015/08/17,23.004,120.226,67000340,104,2
府安路,安和里,2015/08/17,23.028,120.218,67000350,104,12
中華南,南華里,2015/08/17,22.968,120.205,67000330,104,1
安中路,安慶里,2015/08/17,23.046,120.191,67000350,104,3
和緯路,六甲里,2015/08/17,23.011,120.21,67000340,104,13
文南三街,文華里,2015/08/17,22.986,120.189,67000330,104,11
小東路,中華里,2015/08/18,22.999,120.237,67000310,104,4
勝利路,中樓里,2015/08/18,23.004,120.218,67000340,104,18
裕民街,三德里,2015/08/18,23.0,120.205,67000340,104,39
國民路,大忠里,2015/08/18,22.974,120.205,67000330,104,3
健康三街,平通里,2015/08/18,22.997,120.17,67000360,104,5
新建路,光明里,2015/08/18,22.97,120.185,67000330,104,19
大橋二街,大橋里,2015/08/18,23.02,120.23,67000310,104,3
新美街,建國里,2015/08/18,22.995,120.2,67000370,104,7
中華南路,南華里,2015/08/18,22.967,120.205,67000330,104,5
育成路,成德里,2015/08/18,23.018,120.207,67000340,104,7
長春街,延平里,2015/08/18,23.302,120.313,67000010,104,14
大橋三街,西橋里,2015/08/18,23.018,120.225,67000310,104,9
頂美3街,西湖里,2015/08/18,23.003,120.186,67000370,104,4
湖美二街,西湖里,2015/08/18,23.002,120.182,67000370,104,2
新興路,新興里,2015/08/18,22.978,120.194,67000330,104,13
民族路,三民里,2015/08/18,22.996,120.205,67000370,104,12
光明街,小東里,2015/08/18,23.0,120.228,67000320,104,44
大新街,藥王里,2015/08/18,22.999,120.192,67000370,104,21
麻豆口,麻口里,2015/08/18,23.176,120.223,67000070,104,2
青砂街,青草里,2015/08/18,23.071,120.1,67000350,104,1
府安路,安富里,2015/08/18,23.022,120.197,67000350,104,6
安和路,安西里,2015/08/18,23.063,120.219,67000350,104,6
崇德21街,崇文里,2015/08/18,22.981,120.218,67000320,104,3
灣裡路,省躬里,2015/08/18,22.932,120.18,67000330,104,4
國安街,幸福里,2015/08/18,23.022,120.189,67000350,104,25
聖安街,溪頂里,2015/08/18,23.027,120.206,67000350,104,3
經華路,王行里,2015/08/18,23.044,120.269,67000310,104,1
北安路,溪東里,2015/08/18,23.055,120.213,67000350,104,4
,嘉北里,2015/08/18,23.144,120.328,67000190,104,1
郡安路,溪頂里,2015/08/18,23.027,120.183,67000350,104,1
王行路,王行里,2015/08/18,23.052,120.275,67000310,104,1
鹽行路,鹽洲里,2015/08/18,23.042,120.232,67000310,104,9
本原街,原佃里,2015/08/18,23.054,120.196,67000350,104,3
府東街,龍山里,2015/08/18,22.985,120.22,67000320,104,5
永華二街,文平里,2015/08/18,22.992,120.164,67000360,104,1
,田寮里,2015/08/18,23.148,120.305,67000190,104,1
建平一街,文平里,2015/08/18,22.984,120.18,67000360,104,6
郡安路,安富里,2015/08/18,23.029,120.195,67000350,104,3
東橋五路,東橋里,2015/08/19,23.022,120.235,67000310,104,1
,秀昌里,2015/08/19,23.249,120.176,67000130,104,1
文南路,文華里,2015/08/19,22.987,120.19,67000330,104,11
達雲路,東中里,2015/08/19,23.321,120.404,67000060,104,1
中興街,中興里,2015/08/19,23.007,120.24,67000310,104,8
文安街,溪頂里,2015/08/19,23.026,120.208,67000350,104,6
開元路,中樓里,2015/08/19,23.011,120.219,67000340,104,7
友愛街,民主里,2015/08/19,22.993,120.194,67000370,104,9
大武街,永祥里,2015/08/19,23.018,120.222,67000340,104,16
公園路,六甲里,2015/08/19,23.018,120.216,67000340,104,32
北區育,成德里,2015/08/19,23.018,120.208,67000340,104,1
大順七路,三舍里,2015/08/19,23.102,120.288,67000200,104,2
安北路,石門里,2015/08/19,22.997,120.147,67000360,104,4
,興化里,2015/08/19,23.189,120.188,67000120,104,1
成功路,五王里,2015/08/19,23.009,120.234,67000310,104,5
德洋路,後壁里,2015/08/19,22.953,120.247,67000270,104,1
,蓮潭里,2015/08/19,23.399,120.399,67000030,104,1
三民路,南關里,2015/08/19,23.125,120.284,67000190,104,1
文安街,溪北里,2015/08/19,23.027,120.213,67000350,104,4
信義街,北灣里,2015/08/19,23.011,120.272,67000310,104,2
賢北街,大港里,2015/08/19,23.01,120.182,67000340,104,8
中正路,明宜里,2015/08/19,23.234,120.18,67000130,104,3
民生路,中正里,2015/08/19,22.995,120.197,67000370,104,7
國民路,大恩里,2015/08/19,22.967,120.213,67000330,104,10
永就村,永就里,2015/08/19,23.079,120.292,67000200,104,1
大順三路,三舍里,2015/08/19,23.097,120.288,67000200,104,3
東門路,東門里,2015/08/19,22.987,120.217,67000320,104,3
中正路,鹽行里,2015/08/19,23.039,120.239,67000310,104,1
南功街,文南里,2015/08/19,22.984,120.186,67000330,104,4
,平陽里,2015/08/19,23.086,120.375,67000220,104,2
友愛街,永福里,2015/08/20,22.991,120.201,67000370,104,5
開山路,銀同里,2015/08/20,22.988,120.208,67000370,104,10
西門路,五福里,2015/08/20,23.012,120.209,67000340,104,9
忠孝路,東勢里,2015/08/20,23.18,120.49,67000240,104,1
復華三街,復國里,2015/08/20,23.01,120.247,67000310,104,8
前鋒路,中樓里,2015/08/20,23.005,120.216,67000340,104,13
生產路,崇文里,2015/08/20,22.966,120.229,67000320,104,8
長溪路,長安里,2015/08/20,23.058,120.201,67000350,104,1
新建路,國宅里,2015/08/20,22.975,120.185,67000330,104,2
中山南路,西橋里,2015/08/20,23.013,120.226,67000310,104,5
仁安街,淵東里,2015/08/20,23.051,120.177,67000350,104,2
健康路,文南里,2015/08/20,22.982,120.187,67000330,104,7
